position_id,market_id,question,entry_timestamp,entry_price,side,size,entry_ev,entry_z,current_ev,current_z,peak_ev,regime,exit_timestamp,exit_price,exit_reason,exit_rule,pnl,pnl_pct,hold_time_days
BT_516712_2025-10-27 15:13:06.430242,516712,Tether insolvent in 2025?,2025-10-27 15:13:06.430242,0.5823911200634627,YES,823.9112006346272,0.16478224012692544,1.6478224012692544,0.16478224012692544,1.6478224012692544,0.16478224012692544,information,2025-10-27 15:13:06.430242,0.5,Stop loss (-14.1%),stop_loss,-116.55906883628676,-0.14147042635966808,0.0
BT_516713_2025-10-27 15:13:09.198071,516713,USDT depeg in 2025?,2025-10-27 15:13:09.198071,0.5556382774037814,YES,549.8976282319738,0.11127655480756271,1.112765548075627,0.11127655480756271,1.112765548075627,0.11127655480756271,information,2025-10-27 15:13:09.198071,0.5,Stop loss (-10.0%),stop_loss,-55.06344330021454,-0.10013398944318791,0.0
BT_516717_2025-10-27 15:13:20.600326,516717,Nuclear weapon detonation in 2025?,2025-10-27 15:13:20.600326,0.5292562804586811,YES,287.5417682387223,0.05851256091736223,0.5851256091736223,0.05851256091736223,0.5851256091736223,0.05851256091736223,information,2025-10-27 15:13:20.600326,0.5,Z-reversion (0.59 < 0.80),z_reversion,-15.894762000531232,-0.05527809784954483,0.0
BT_516719_2025-10-27 15:13:23.547667,516719,Russia x Ukraine ceasefire in 2025?,2025-10-27 15:13:23.547667,0.5850876000933795,YES,834.9206061014222,0.1701752001867589,1.7017520018675891,0.1701752001867589,1.7017520018675891,0.1701752001867589,information,2025-10-27 15:13:23.547667,0.5,Stop loss (-14.5%),stop_loss,-121.42009270123255,-0.1454271122474644,0.0
BT_516727_2025-10-27 15:13:41.663440,516727,Will 4 Fed rate cuts happen in 2025?,2025-10-27 15:13:41.663440,0.5431674651502527,YES,418.33860848592553,0.08633493030050543,0.8633493030050543,0.08633493030050543,0.8633493030050543,0.08633493030050543,information,2025-10-27 15:13:41.663440,0.5,Stop loss (-7.9%),stop_loss,-33.24686852852274,-0.079473583967905,0.0
BT_516730_2025-10-27 15:13:50.909827,516730,Will 7 Fed rate cuts happen in 2025?,2025-10-27 15:13:50.909827,0.5581957667929963,YES,562.0439939683179,0.11639153358599263,1.1639153358599263,0.11639153358599263,1.1639153358599263,0.11639153358599263,information,2025-10-27 15:13:50.909827,0.5,Stop loss (-10.4%),stop_loss,-58.59697107397493,-0.10425691174146416,0.0
BT_516711_2025-10-27 15:38:06.810396,516711,Fed emergency rate cut in 2025?,2025-10-27 15:38:06.810396,0.5457320257606145,YES,438.9917211488261,0.09146405152122905,0.9146405152122905,0.09146405152122905,0.9146405152122905,0.09146405152122905,information,2025-10-27 15:38:06.810396,0.5,Stop loss (-8.4%),stop_loss,-36.78725043173654,-0.0837994172998652,0.0
BT_516719_2025-10-27 15:38:26.824693,516719,Russia x Ukraine ceasefire in 2025?,2025-10-27 15:38:26.824693,0.5489155345191307,YES,467.7514502346772,0.09783106903826133,0.9783106903826133,0.09783106903826133,0.9783106903826133,0.09783106903826133,information,2025-10-27 15:38:26.824693,0.5,Stop loss (-8.9%),stop_loss,-41.68275585490897,-0.0891130446180256,0.0
BT_516706_2025-10-27 15:40:16.938702,516706,Fed rate hike in 2025?,2025-10-27 15:40:16.938702,0.5587408801586343,YES,559.2571635336424,0.11748176031726865,1.1748176031726865,0.11748176031726865,1.1748176031726865,0.11748176031726865,information,2025-10-27 15:40:16.938702,0.5,Stop loss (-10.5%),stop_loss,-58.79515744697348,-0.10513080793722658,0.0
BT_516710_2025-10-27 15:40:20.282411,516710,US recession in 2025?,2025-10-27 15:40:20.282411,0.5308282798002436,YES,291.6957539571948,0.061656559600487215,0.6165655960048722,0.061656559600487215,0.6165655960048722,0.061656559600487215,information,2025-10-27 15:40:20.282411,0.5,Z-reversion (0.62 < 0.80),z_reversion,-16.940465799823976,-0.058075805252584926,0.0
BT_516711_2025-10-27 15:40:23.288856,516711,Fed emergency rate cut in 2025?,2025-10-27 15:40:23.288856,0.6291111606912143,YES,1000.0,0.2582223213824286,2.582223213824286,0.2582223213824286,2.582223213824286,0.2582223213824286,information,2025-10-27 15:40:23.288856,0.5,Stop loss (-20.5%),stop_loss,-205.22789732319777,-0.20522789732319777,0.0
BT_516713_2025-10-27 15:40:29.575134,516713,USDT depeg in 2025?,2025-10-27 15:40:29.575134,0.636547842656984,YES,1000.0,0.2730956853139681,2.730956853139681,0.2730956853139681,2.730956853139681,0.2730956853139681,information,2025-10-27 15:40:29.575134,0.5,Stop loss (-21.5%),stop_loss,-214.51308685145517,-0.21451308685145518,0.0
BT_516720_2025-10-27 15:40:46.933645,516720,Putin out as President of Russia in 2025?,2025-10-27 15:40:46.933645,0.5629869319191221,YES,568.4742043438305,0.12597386383824416,1.2597386383824416,0.12597386383824416,1.2597386383824416,0.12597386383824416,information,2025-10-27 15:40:46.933645,0.5,Stop loss (-11.2%),stop_loss,-63.600847509415814,-0.11187991825034173,0.0
BT_516721_2025-10-27 15:40:49.788838,516721,Netanyahu out by 2025?,2025-10-27 15:40:49.788838,0.5309257182963976,YES,277.14612308890213,0.06185143659279513,0.6185143659279513,0.06185143659279513,0.6185143659279513,0.06185143659279513,information,2025-10-27 15:40:49.788838,0.5,Z-reversion (0.62 < 0.80),z_reversion,-16.14339376342144,-0.05824867251793744,0.0
BT_516724_2025-10-27 15:40:53.126318,516724,Will 1 Fed rate cut happen in 2025?,2025-10-27 15:40:53.126318,0.5309649580143351,YES,276.99789703413865,0.06192991602867015,0.6192991602867015,0.06192991602867015,0.6192991602867015,0.06192991602867015,information,2025-10-27 15:40:53.126318,0.5,Z-reversion (0.62 < 0.80),z_reversion,-16.15403826986572,-0.058318270437536256,0.0
BT_516726_2025-10-27 15:40:59.220865,516726,Will 3 Fed rate cuts happen in 2025?,2025-10-27 15:40:59.220865,0.556247822549274,YES,502.25783862066754,0.11249564509854793,1.1249564509854793,0.11249564509854793,1.1249564509854793,0.11249564509854793,information,2025-10-27 15:40:59.220865,0.5,Stop loss (-10.1%),stop_loss,-50.788351226695625,-0.1011200768238358,0.0
